Time,DropTail/Reno,DropTail/Sack,RED/Reno,RED/Sack,DropTail/Reno,DropTail/Sack,RED/Reno,RED/Sack
0,4.485,4.485,4.485,4.485,32.82,32.82,32.82,32.82
1,5.084,5.084,5.084,5.084,32.59,32.59,32.59,32.59
2,5.158,5.158,5.158,5.158,32.59,32.59,32.59,32.59
3,5.084,5.084,5.084,5.084,32.59,32.59,32.59,32.59
4,5.067,5.067,5.067,5.067,32.59,32.59,32.59,32.59
5,5.158,5.158,5.158,5.158,32.59,32.59,32.59,32.59
6,5.100,5.100,5.100,5.100,32.59,32.59,32.59,32.59
7,5.050,5.050,5.050,5.050,32.59,32.59,32.59,32.59
8,5.158,5.158,5.158,5.158,32.59,32.59,32.59,32.59
9,5.117,5.117,5.117,5.117,32.59,32.59,32.59,32.59
10,1.647,1.756,1.589,1.140,42.04,46.29,42.59,42.73
11,1.514,1.381,1.506,1.406,41.57,43.12,39.09,39.93
12,2.172,1.839,2.213,1.464,43.54,43.41,37.83,38.26
13,1.980,1.223,2.188,1.381,44.15,42.23,37.36,39.82
14,1.589,1.764,1.315,1.439,39.59,41.31,38.65,37.96
15,2.155,1.406,2.063,1.165,43.94,43.44,37.46,41.66
16,1.431,1.597,1.681,1.722,40.61,40.58,36.97,38.71
17,2.138,1.697,1.431,1.132,43.44,43.78,37.79,39.25
18,1.531,1.290,1.997,1.722,41.77,41.46,36.47,38.74
19,2.047,1.822,1.514,1.065,43.66,42.34,38.22,38.28
20,1.489,1.306,2.080,1.389,40.76,44.25,37.99,39.53
21,2.163,1.697,1.523,1.356,44.43,40.60,36.47,37.58
22,1.389,1.572,1.548,1.256,41.00,43.92,38.60,41.82
23,2.213,1.431,2.055,1.631,43.62,41.04,36.66,38.33
24,1.389,1.822,1.597,1.215,43.37,43.05,39.05,41.23
25,4.410,3.012,4.534,4.060,32.62,32.80,32.61,32.75
26,5.059,5.092,5.100,5.108,32.59,32.59,32.59,32.59
27,5.158,5.059,5.100,5.158,32.59,32.59,32.59,32.59
28,5.108,5.158,5.108,5.059,32.59,32.59,32.59,32.59
29,5.059,5.108,5.108,5.092,32.59,32.59,32.59,32.59
